(41.056312561035156, 28.81978988647461)
(41.056312561035156, 28.81978988647461)
(41.056312561035156, 28.819787979125977)
(41.056312561035156, 28.819787979125977)
(41.056312561035156, 28.819786071777344)
(41.056312561035156, 28.819786071777344)
(41.056312561035156, 28.819786071777344)
(41.056312561035156, 28.819786071777344)
(41.056312561035156, 28.819786071777344)
(41.056312561035156, 28.819786071777344)
(41.05630874633789, 28.819786071777344)
(41.05630874633789, 28.819787979125977)
(41.05630874633789, 28.81978988647461)
(41.05630874633789, 28.81978988647461)
(41.05630874633789, 28.819791793823242)
(41.05630874633789, 28.819793701171875)
(41.05630874633789, 28.819793701171875)
(41.05630874633789, 28.819793701171875)
(41.05630874633789, 28.819793701171875)
(41.056304931640625, 28.819795608520508)
(41.056304931640625, 28.819795608520508)
(41.056304931640625, 28.819795608520508)
(41.056304931640625, 28.81979751586914)
(41.056304931640625, 28.81979751586914)
(41.05630111694336, 28.81979751586914)
(41.05630111694336, 28.819799423217773)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.05630111694336, 28.819801330566406)
(41.0562858581543, 28.819801330566406)
(41.0562858581543, 28.81980323791504)
(41.0562858581543, 28.819805145263672)
(41.0562858581543, 28.819805145263672)
(41.0562858581543, 28.819805145263672)
(41.0562858581543, 28.819805145263672)
(41.0562858581543, 28.819807052612305)
(41.0562858581543, 28.819807052612305)
(41.05628204345703, 28.819808959960938)
(41.0562858581543, 28.819808959960938)
(41.0562858581543, 28.819808959960938)
(41.05628204345703, 28.81981086730957)
(41.056278228759766, 28.81981086730957)
(41.05628204345703, 28.819808959960938)
(41.056278228759766, 28.819808959960938)
(41.056278228759766, 28.819807052612305)
(41.0562744140625, 28.819807052612305)
(41.056278228759766, 28.819805145263672)
(41.0562744140625, 28.819807052612305)
(41.0562744140625, 28.819807052612305)
(41.0562744140625, 28.819807052612305)
(41.0562744140625, 28.819807052612305)
(41.056270599365234, 28.819807052612305)
(41.056270599365234, 28.819807052612305)
(41.056270599365234, 28.819807052612305)
(41.056270599365234, 28.819807052612305)
(41.056270599365234, 28.819807052612305)
(41.05626678466797, 28.819807052612305)
(41.05626678466797, 28.819808959960938)
(41.05625915527344, 28.819808959960938)
(41.05625534057617, 28.81981086730957)
(41.056251525878906, 28.819812774658203)
(41.05624771118164, 28.819812774658203)
(41.056243896484375, 28.819814682006836)
(41.056243896484375, 28.819814682006836)
(41.056236267089844, 28.819814682006836)
(41.05624008178711, 28.819814682006836)
(41.05624008178711, 28.819812774658203)
(41.05624008178711, 28.81981086730957)
(41.056236267089844, 28.819808959960938)
(41.056236267089844, 28.819808959960938)
(41.05623245239258, 28.819807052612305)
(41.05622863769531, 28.819807052612305)
(41.05622863769531, 28.819805145263672)
(41.05622863769531, 28.819805145263672)
(41.05622863769531, 28.81980323791504)
(41.05622482299805, 28.81980323791504)
